,ApplicationID,LicenseNumber,LicenseType,ApplicationorRenewal,BusinessName,Status,StartDate,EndDate,LicenseCategory,ApplicationCategory,Street,City,Zip,ContactPhone,LicenseExpirationDate,LicenseStatus,LicenseCreationDate
47901,33632-2016-RDEB,2029733-DCA,Business,Renewal,"Debt Management Holdings, LLC",Issued,01/09/2017,01/10/2017,Debt Collection Agency,Basic,DELAWARE AVE,BUFFALO,14202,7169973553,01/31/2019,Inactive,10/22/2015
105267,31994-2016-RDEB,1294062-DCA,Business,Renewal,"PALISADES ACQUISITION XVI, LLC",Issued,01/10/2017,01/11/2017,Debt Collection Agency,Basic,SYLVAN AVE,ENGLEWOOD CLIFFS,07632,2015675648,01/31/2021,Active,01/29/2013
121417,28156-2016-AEHD,2047153-DCA,Business,Application,NEW YORK SOUND & SECURITY LLC,Issued,12/09/2016,01/07/2017,Electronic & Appliance Service,Basic,ATLANTIC AVE,WOODHAVEN,11421,347-600-5878,06/30/2020,Active,01/06/2017
40026,11364-2017-AHIC,2057839-DCA,Business,Application,SMART HOME ENERGY SOURCE LLC,Issued,08/21/2017,09/06/2017,Home Improvement Contractor,Special,SMITH RD,SHIRLEY,11967,631-398-3574,02/28/2021,Active,09/05/2017
54911,2904-2019-AHIC,2085179-DCA,Business,Application,ALL STAR INSTALLER CORP,Issued,04/25/2019,04/26/2019,Home Improvement Contractor,Special,MASON CT,W HEMPSTEAD,11552,3479528110,02/28/2021,Active,04/25/2019
132391,18673-2019-RHIC,1453862-DCA,Business,Renewal,INTERIA DEVELOPMENT LLC,Issued,04/26/2019,04/27/2019,Home Improvement Contractor,Special,E 6TH ST,NEW YORK,10009,9178555428,02/28/2021,Active,01/15/2013
119610,18580-2019-RHIC,2061182-DCA,Business,Renewal,"HUISSAIN, MUKURAM",Issued,04/25/2019,04/26/2019,Home Improvement Contractor,Special,81ST ST,OZONE PARK,11416,3475286058,02/28/2021,Active,11/20/2017
184270,11715-2016-ACRD,2042527-1-DCA,Business,Application,DUANE READE,Issued,08/16/2016,08/18/2016,Tobacco Retail Dealer,Basic,GREENWICH ST,NEW YORK,10007,847-527-4516,12/31/2018,Inactive,08/17/2016
176979,28062-2016-AHIC,2047079-DCA,Business,Application,METRO STANDARDS INC,Issued,12/05/2016,01/06/2017,Home Improvement Contractor,Special,E 7TH ST,BROOKLYN,11235,3474391499,02/28/2021,Active,01/05/2017
118783,422-2019-RHIC,2050127-DCA,Business,Renewal,ARTISAN PAINTING CORP,Issued,01/03/2019,01/04/2019,Home Improvement Contractor,Special,W 5TH ST,BROOKLYN,11223,9175190298,02/28/2021,Active,03/27/2017
134246,24854-2016-RHIC,2003509-DCA,Business,Renewal,E. ROCHA CONSTRUCTION CORP,Issued,01/11/2017,01/12/2017,Home Improvement Contractor,Special,FISHER AVE,STATEN ISLAND,10307,7189660951,02/28/2021,Active,02/12/2014
160046,674-2017-RDEB,0889064-DCA,Business,Renewal,"HEALTHCARE COLLECTION SPECIALISTS, INC.",Issued,01/09/2017,01/10/2017,Debt Collection Agency,Basic,FRANKLIN TPKE,WALDWICK,07463,2014476789,01/31/2021,Active,01/17/1997
48140,1218-2017-RDEB,1424140-DCA,Business,Renewal,NATIONSTAR MORTGAGE LLC,Issued,01/09/2017,01/12/2017,Debt Collection Agency,Basic,CYPRESS WATERS BLVD,COPPELL,75019,4695492000,01/31/2021,Active,04/05/2012
175702,805-2019-RHIC,2017546-DCA,Business,Renewal,QUICKSILVER FOX LLC,Issued,01/07/2019,01/10/2019,Home Improvement Contractor,Special,E 4TH ST,NEW YORK,10009,9176973934,02/28/2021,Active,01/23/2015
150353,16121-2016-RELE,2030214-DCA,Business,Renewal,CROWN HEIGHTS WIRELESS INC.,Issued,01/09/2017,01/10/2017,Electronics Store,Basic,FRANKLIN AVE,BROOKLYN,11238,7185522877,12/31/2020,Active,11/06/2015
182001,24942-2017-RSHG,1473003-DCA,Business,Renewal,J & A AUTO CENTER INC,Denied,08/03/2017,09/03/2017,Secondhand Dealer - General,Basic,CYRUS PL,BRONX,10458,9178011391,07/31/2017,Inactive,09/13/2013
175531,33587-2016-RELE,1379850-DCA,Business,Renewal,T-MOBILE NORTHEAST LLC,Issued,12/30/2016,01/07/2017,Electronics Store,Basic,JAMAICA AVE,HOLLIS,11423,3026368910,12/31/2018,Inactive,12/31/2010
47340,1160-2017-RDEB,2000796-DCA,Business,Renewal,LEGACY ASSET MANAGEMENT CAPITAL LLC,Issued,01/09/2017,01/10/2017,Debt Collection Agency,Basic,SPRUCE ST,CEDARHURST,11516,2125967520,01/31/2019,Inactive,11/18/2013
107761,12759-2017-RDPD,1134201-DCA,Business,Renewal,"ENESLOW PEDORTHIC ENTERPRISES, INC.",Issued,03/09/2017,03/10/2017,Dealer In Products,Basic,PARK AVE S,NEW YORK,10016,2124772300,03/15/2021,Active,04/08/2003
173951,19043-2019-RPWN,2011772-DCA,Business,Renewal,"SAN MARTIN JEWELRY & PAWNSHOP, INC",Issued,05/01/2019,05/02/2019,Pawnbroker,Basic,BROADWAY,NEW YORK,10031,2124914653,04/30/2020,Active,08/08/2014
143645,990-2017-RELE,2025871-DCA,Business,Renewal,Onetel Store Inc,Issued,01/06/2017,01/12/2017,Electronics Store,Basic,MAIN ST,FLUSHING,11355,7185107000,12/31/2018,Inactive,07/20/2015
8937,1099-2017-RHIC,1076031-DCA,Business,Renewal,LANDMARK HOME IMPROVEMENTS INC.,Issued,01/09/2017,01/10/2017,Home Improvement Contractor,Special,WEST BLVD,EAST ROCKAWAY,11518,5169469939,02/28/2021,Active,03/23/2001
141785,33647-2016-RELE,1343449-DCA,Business,Renewal,T-MOBILE NORTHEAST LLC,Issued,12/30/2016,01/07/2017,Electronics Store,Basic,JAMAICA AVE,JAMAICA,11432,800-927-9801,12/31/2020,Active,01/22/2010
194252,32544-2016-RELE,2017737-DCA,Business,Renewal,"EBEN-EZER WINNER WIRELESS VIDEO, INC",Issued,12/22/2016,01/11/2017,Electronics Store,Basic,FORT HAMILTON PKWY,BROOKLYN,11219,718-438-4887,12/31/2020,Active,01/29/2015
